"Input"	"Match type"	"Approved symbol"	"Approved name"	"HGNC ID"	"Location"
"SF3B3"	"Approved symbol"	"SF3B3"	"splicing factor 3b subunit 3"	"HGNC:10770"	"16q22.1"
"SF3B4"	"Approved symbol"	"SF3B4"	"splicing factor 3b subunit 4"	"HGNC:10771"	"1q21.2"
"SFPQ"	"Approved symbol"	"SFPQ"	"splicing factor proline and glutamine rich"	"HGNC:10774"	"1p34.3"
"SIRT1"	"Approved symbol"	"SIRT1"	"sirtuin 1"	"HGNC:14929"	"10q21.3"
"SLU7"	"Approved symbol"	"SLU7"	"SLU7 homolog, splicing factor"	"HGNC:16939"	"5q33.3"
"SMARCA2"	"Approved symbol"	"SMARCA2"	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2"	"HGNC:11098"	"9p24.3"
"SMARCA4"	"Approved symbol"	"SMARCA4"	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4"	"HGNC:11100"	"19p13.2"
"SMNDC1"	"Approved symbol"	"SMNDC1"	"survival motor neuron domain containing 1"	"HGNC:16900"	"10q25.2"
"SMU1"	"Approved symbol"	"SMU1"	"SMU1 DNA replication regulator and spliceosomal factor"	"HGNC:18247"	"9p21.1"
"SNIP1"	"Approved symbol"	"SNIP1"	"Smad nuclear interacting protein 1"	"HGNC:30587"	"1p34.3"
"SNRNP200"	"Approved symbol"	"SNRNP200"	"small nuclear ribonucleoprotein U5 subunit 200"	"HGNC:30859"	"2q11.2"
"SNRNP25"	"Approved symbol"	"SNRNP25"	"small nuclear ribonucleoprotein U11/U12 subunit 25"	"HGNC:14161"	"16p13.3"
"SNRNP27"	"Approved symbol"	"SNRNP27"	"small nuclear ribonucleoprotein U4/U6.U5 subunit 27"	"HGNC:30240"	"2p13.3"
"SNRNP35"	"Approved symbol"	"SNRNP35"	"small nuclear ribonucleoprotein U11/U12 subunit 35"	"HGNC:30852"	"12q24.31"
"SNRNP40"	"Approved symbol"	"SNRNP40"	"small nuclear ribonucleoprotein U5 subunit 40"	"HGNC:30857"	"1p35.2"
"SNRNP48"	"Approved symbol"	"SNRNP48"	"small nuclear ribonucleoprotein U11/U12 subunit 48"	"HGNC:21368"	"6p24.3"
"SNRNP70"	"Approved symbol"	"SNRNP70"	"small nuclear ribonucleoprotein U1 subunit 70"	"HGNC:11150"	"19q13.33"
"SNRPA1"	"Approved symbol"	"SNRPA1"	"small nuclear ribonucleoprotein polypeptide A'"	"HGNC:11152"	"15q26.3"
"SNRPA"	"Approved symbol"	"SNRPA"	"small nuclear ribonucleoprotein polypeptide A"	"HGNC:11151"	"19q13.2"
"SNRPB2"	"Approved symbol"	"SNRPB2"	"small nuclear ribonucleoprotein polypeptide B2"	"HGNC:11155"	"20p12.1"
"SNRPB"	"Approved symbol"	"SNRPB"	"small nuclear ribonucleoprotein polypeptides B and B1"	"HGNC:11153"	"20p13"
"SNRPC"	"Approved symbol"	"SNRPC"	"small nuclear ribonucleoprotein polypeptide C"	"HGNC:11157"	"6p21.31"
"SNRPD1"	"Approved symbol"	"SNRPD1"	"small nuclear ribonucleoprotein D1 polypeptide"	"HGNC:11158"	"18q11.2"
"SNRPD2"	"Approved symbol"	"SNRPD2"	"small nuclear ribonucleoprotein D2 polypeptide"	"HGNC:11159"	"19q13.2-q13.3"
"SNRPD3"	"Approved symbol"	"SNRPD3"	"small nuclear ribonucleoprotein D3 polypeptide"	"HGNC:11160"	"22q11.23"
"SNRPE"	"Approved symbol"	"SNRPE"	"small nuclear ribonucleoprotein polypeptide E"	"HGNC:11161"	"1q32.1"
"SNRPF"	"Approved symbol"	"SNRPF"	"small nuclear ribonucleoprotein polypeptide F"	"HGNC:11162"	"12q23.1"
"SNRPG"	"Approved symbol"	"SNRPG"	"small nuclear ribonucleoprotein polypeptide G"	"HGNC:11163"	"2p13.3"
"SNW1"	"Approved symbol"	"SNW1"	"SNW domain containing 1"	"HGNC:16696"	"14q24.3"
"SPEN"	"Approved symbol"	"SPEN"	"spen family transcriptional repressor"	"HGNC:17575"	"1p36.21-p36.13"
"SRPK1"	"Approved symbol"	"SRPK1"	"SRSF protein kinase 1"	"HGNC:11305"	"6p21.31"
"SRPK2"	"Approved symbol"	"SRPK2"	"SRSF protein kinase 2"	"HGNC:11306"	"7q22.3"
"SRRM1"	"Approved symbol"	"SRRM1"	"serine and arginine repetitive matrix 1"	"HGNC:16638"	"1p36.11"
"SRRM2"	"Approved symbol"	"SRRM2"	"serine/arginine repetitive matrix 2"	"HGNC:16639"	"16p13.3"
"SRRM3"	"Approved symbol"	"SRRM3"	"serine/arginine repetitive matrix 3"	"HGNC:26729"	"7q11.23"
"SRSF1"	"Approved symbol"	"SRSF1"	"serine and arginine rich splicing factor 1"	"HGNC:10780"	"17q22"
"SRSF2"	"Approved symbol"	"SRSF2"	"serine and arginine rich splicing factor 2"	"HGNC:10783"	"17q25.2"
"SRSF5"	"Approved symbol"	"SRSF5"	"serine and arginine rich splicing factor 5"	"HGNC:10787"	"14q24"
"SUV39H1"	"Approved symbol"	"SUV39H1"	"SUV39H1 histone lysine methyltransferase"	"HGNC:11479"	"Xp11.23"
"SYF2"	"Approved symbol"	"SYF2"	"SYF2 pre-mRNA splicing factor"	"HGNC:19824"	"1p36.11"
"SYNCRIP"	"Approved symbol"	"SYNCRIP"	"synaptotagmin binding cytoplasmic RNA interacting protein"	"HGNC:16918"	"6q14.3"
"TAF15"	"Approved symbol"	"TAF15"	"TATA-box binding protein associated factor 15"	"HGNC:11547"	"17q12"
"TCERG1"	"Approved symbol"	"TCERG1"	"transcription elongation regulator 1"	"HGNC:15630"	"5q32"
"TCERG1L"	"Approved symbol"	"TCERG1L"	"transcription elongation regulator 1 like"	"HGNC:23533"	"10q26.3"
"TDRD9"	"Approved symbol"	"TDRD9"	"tudor domain containing 9"	"HGNC:20122"	"14q32.33"
"TET1"	"Approved symbol"	"TET1"	"tet methylcytosine dioxygenase 1"	"HGNC:29484"	"10q21.3"
"TFIP11"	"Approved symbol"	"TFIP11"	"tuftelin interacting protein 11"	"HGNC:17165"	"22q12.1"
"THOC1"	"Approved symbol"	"THOC1"	"THO complex subunit 1"	"HGNC:19070"	"18p11.32"
"THOC2"	"Approved symbol"	"THOC2"	"THO complex subunit 2"	"HGNC:19073"	"Xq25"
"THOC3"	"Approved symbol"	"THOC3"	"THO complex subunit 3"	"HGNC:19072"	"5q35.2"
"THOC5"	"Approved symbol"	"THOC5"	"THO complex subunit 5"	"HGNC:19074"	"22q12.2"
"THOC6"	"Approved symbol"	"THOC6"	"THO complex subunit 6"	"HGNC:28369"	"16p13.3"
"THOC7"	"Approved symbol"	"THOC7"	"THO complex subunit 7"	"HGNC:29874"	"3p14.1"
"THRAP3"	"Approved symbol"	"THRAP3"	"thyroid hormone receptor associated protein 3"	"HGNC:22964"	"1p34.3"
"TIA1"	"Approved symbol"	"TIA1"	"TIA1 cytotoxic granule associated RNA binding protein"	"HGNC:11802"	"2p13.3"
"TIAL1"	"Approved symbol"	"TIAL1"	"TIA1 cytotoxic granule associated RNA binding protein like 1"	"HGNC:11804"	"10q26.11"
"TRA2B"	"Approved symbol"	"TRA2B"	"transformer 2 beta homolog"	"HGNC:10781"	"3q27.2"
"TXNL4A"	"Approved symbol"	"TXNL4A"	"thioredoxin like 4A"	"HGNC:30551"	"18q23"
"U2AF1"	"Approved symbol"	"U2AF1"	"U2 small nuclear RNA auxiliary factor 1"	"HGNC:12453"	"21q22.3"
"U2AF2"	"Approved symbol"	"U2AF2"	"U2 small nuclear RNA auxiliary factor 2"	"HGNC:23156"	"19q13.42"
"USP39"	"Approved symbol"	"USP39"	"ubiquitin specific peptidase 39"	"HGNC:20071"	"2p11.2"
"WBP11"	"Approved symbol"	"WBP11"	"WW domain binding protein 11"	"HGNC:16461"	"12p12.3"
"WBP4"	"Approved symbol"	"WBP4"	"WW domain binding protein 4"	"HGNC:12739"	"13q14.11"
"WDR83"	"Approved symbol"	"WDR83"	"WD repeat domain 83"	"HGNC:32672"	"19p13.13"
"WTAP"	"Approved symbol"	"WTAP"	"WT1 associated protein"	"HGNC:16846"	"6q25.3"
"XAB2"	"Approved symbol"	"XAB2"	"XPA binding protein 2"	"HGNC:14089"	"19p13.2"
"YBX1"	"Approved symbol"	"YBX1"	"Y-box binding protein 1"	"HGNC:8014"	"1p34.2"
"YTHDC1"	"Approved symbol"	"YTHDC1"	"YTH N6-methyladenosine RNA binding protein C1"	"HGNC:30626"	"4q13.2"
"ZCRB1"	"Approved symbol"	"ZCRB1"	"zinc finger CCHC-type and RNA binding motif containing 1"	"HGNC:29620"	"12q12"
"ZMAT5"	"Approved symbol"	"ZMAT5"	"zinc finger matrin-type 5"	"HGNC:28046"	"22q12.2"
"ZNF207"	"Approved symbol"	"ZNF207"	"zinc finger protein 207"	"HGNC:12998"	"17q11.2"
"ZNF326"	"Approved symbol"	"ZNF326"	"zinc finger protein 326"	"HGNC:14104"	"1p22.2"
"ZNF830"	"Approved symbol"	"ZNF830"	"zinc finger protein 830"	"HGNC:28291"	"17q12"
"ZRSR2"	"Approved symbol"	"ZRSR2"	"zinc finger CCCH-type, RNA binding motif and serine/arginine rich 2"	"HGNC:23019"	"Xp22.2"
"SR140"	"Alias symbol"	"U2SURP"	"U2 snRNP associated SURP domain containing"	"HGNC:30855"	"3q23"
