run_accession	experiment_title	study_accession	aligned	sample_accession	altitude	assembly_quality	assembly_software	bam_aspera	bam_bytes	bam_ftp	bam_galaxy	bam_md5	base_count	binning_software	bio_material	bisulfite_protocol	broad_scale_environmental_context	broker_name	cage_protocol	cell_line	cell_type	center_name	checklist	chip_ab_provider	chip_protocol	chip_target	collected_by	collection_date	collection_date_end	collection_date_start	completeness_score	contamination_score	control_experiment	country	cultivar	culture_collection	depth	description	dev_stage	dnase_protocol	ecotype	elevation	environment_biome	environment_feature	environment_material	environmental_medium	environmental_sample	experiment_accession	experiment_alias	experiment_target	experimental_factor	experimental_protocol	extraction_protocol	faang_library_selection	fastq_aspera	fastq_bytes	fastq_ftp	fastq_galaxy	fastq_md5	file_location	first_created	first_public	germline	hi_c_protocol	host	host_body_site	host_genotype	host_gravidity	host_growth_conditions	host_phenotype	host_scientific_name	host_sex	host_status	host_tax_id	identified_by	instrument_model	instrument_platform	investigation_type	isolate	isolation_source	last_updated	lat	library_construction_protocol	library_gen_protocol	library_layout	library_max_fragment_size	library_min_fragment_size	library_name	library_pcr_isolation_protocol	library_prep_date	library_prep_date_format	library_prep_latitude	library_prep_location	library_prep_longitude	library_selection	library_source	library_strategy	local_environmental_context	location	location_end	location_start	lon	marine_region	mating_type	ncbi_reporting_standard	nominal_length	nominal_sdev	pcr_isolation_protocol	ph	project_name	protocol_label	read_count	read_strand	restriction_enzyme	restriction_enzyme_target_sequence	restriction_site	rna_integrity_num	rna_prep_3_protocol	rna_prep_5_protocol	rna_purity_230_ratio	rna_purity_280_ratio	rt_prep_protocol	run_alias	run_date	salinity	sample_alias	sample_capture_status	sample_collection	sample_description	sample_material	sample_prep_interval	sample_prep_interval_units	sample_storage	sample_storage_processing	sample_title	cell_line_name	replicate	condition	PERT_TYPE	PERT_ENSEMBL	PERT_GENE	control_samples	pert_time	pert_time_units	pert_concentration	pert_concentration_units	sampling_campaign	sampling_platform	sampling_site	tax_id	scientific_name	secondary_project	secondary_sample_accession	secondary_study_accession	sequencing_date	sequencing_date_format	sequencing_location	sequencing_longitude	sequencing_method	sequencing_primer_catalog	sequencing_primer_lot	sequencing_primer_provider	serotype	serovar	sex	specimen_voucher	sra_aspera	sra_bytes	sra_ftp	sra_galaxy	sra_md5	status	strain	study_alias	study_title	sub_species	sub_strain	submission_accession	submission_tool	submitted_aspera	submitted_bytes	submitted_format	submitted_ftp	submitted_galaxy	submitted_host_sex	submitted_md5	submitted_read_type	tag	target_gene	taxonomic_classification	taxonomic_identity_marker	temperature	tissue_lib	tissue_type	transposase_protocol	variety
SRR6726579	Illumina HiSeq 2500 sequencing: GSM3004149: GBM-1_4_130d (techn. Rep. 1) Homo sapiens RNA-Seq	PRJNA434108		SAMN08536478									286944650									GEO																Illumina HiSeq 2500 sequencing: GSM3004149: GBM-1_4_130d (techn. Rep. 1) Homo sapiens RNA-Seq										SRX3699596	GSM3004149						fasp.sra.ebi.ac.uk:/vol1/fastq/SRR672/009/SRR6726579/SRR6726579.fastq.gz	170273829	ftp.sra.ebi.ac.uk/vol1/fastq/SRR672/009/SRR6726579/SRR6726579.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR672/009/SRR6726579/SRR6726579.fastq.gz	91bf583ba53a87fbf28f361b57e23895		2018-05-31	2018-05-31														Illumina HiSeq 2500	ILLUMINA				2018-05-31		RNA was isolated from individual organoids using RNeasy Micro Kit (QIAGEN, cat. #74004) according to the manufacturers instructions. RNA concentration and integrity was analysed using RNA 6000 Nano Chip (Agilent techReplicatenologies, cat. #5067-1511). RNA was enriched for mRNA using SMART-Seq v4 Ultra Low Input RNA Kit (Clontech, cat. # 634891). Libraries were prepared using NEBNext Ultra Directional RNA Library Prep Kit for Illumina (NEB, cat. # E7420L). Barcoded samples were multiplexed and sequenced 50bp SE on a HighSeq2500 (Illumina). Sample preparation and sequencing was performed at the VBCF NGS Unit (www.vbcf.ac.at). Samples were sequenced twice each.		SINGLE										cDNA	TRANSCRIPTOMIC	RNA-Seq								Generic					Targeted mutagenesis recapitulates brain tumor initiation in cerebral organoids (RNA-seq data set: 130d)		5738893											GSM3004149_r1			GSM3004149			GBM-1_4_130d (techn. Rep. 1)						GBM-1_4_130d (techn. Rep. 1)	ORGANOID_GBM	4	MUT_COMBINATION_1	MUTATION	ENSG00000147889,ENSG00000147883,ENSG00000146648	CDKN2A,CDKN2B,EGFR	SRR6726573,SRR6726591,SRR6726574,SRR6726592,SRR6726575,SRR6726593	130	days						9606	Homo sapiens		SRS2959070	SRP132872													fasp.sra.ebi.ac.uk:/vol1/srr/SRR672/009/SRR6726579	104559343	ftp.sra.ebi.ac.uk/vol1/srr/SRR672/009/SRR6726579	ftp.sra.ebi.ac.uk/vol1/srr/SRR672/009/SRR6726579	2affbea7c224b5d4895438916ff45ce5	public		GSE110610	Targeted mutagenesis recapitulates brain tumor initiation in cerebral organoids (RNA-seq data set: 130d)			SRA659539										ena						cerebral organoids		
SRR6726597	Illumina HiSeq 2500 sequencing: GSM3004167: GBM-1_4_130d (techn. Rep. 2) Homo sapiens RNA-Seq	PRJNA434108		SAMN08536490									287897800									GEO																Illumina HiSeq 2500 sequencing: GSM3004167: GBM-1_4_130d (techn. Rep. 2) Homo sapiens RNA-Seq										SRX3699612	GSM3004167						fasp.sra.ebi.ac.uk:/vol1/fastq/SRR672/007/SRR6726597/SRR6726597.fastq.gz	171321848	ftp.sra.ebi.ac.uk/vol1/fastq/SRR672/007/SRR6726597/SRR6726597.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR672/007/SRR6726597/SRR6726597.fastq.gz	2291a15d054914009320bfdb71fff165		2018-05-31	2018-05-31														Illumina HiSeq 2500	ILLUMINA				2018-05-31		RNA was isolated from individual organoids using RNeasy Micro Kit (QIAGEN, cat. #74004) according to the manufacturers instructions. RNA concentration and integrity was analysed using RNA 6000 Nano Chip (Agilent techReplicatenologies, cat. #5067-1511). RNA was enriched for mRNA using SMART-Seq v4 Ultra Low Input RNA Kit (Clontech, cat. # 634891). Libraries were prepared using NEBNext Ultra Directional RNA Library Prep Kit for Illumina (NEB, cat. # E7420L). Barcoded samples were multiplexed and sequenced 50bp SE on a HighSeq2500 (Illumina). Sample preparation and sequencing was performed at the VBCF NGS Unit (www.vbcf.ac.at). Samples were sequenced twice each.		SINGLE										cDNA	TRANSCRIPTOMIC	RNA-Seq								Generic					Targeted mutagenesis recapitulates brain tumor initiation in cerebral organoids (RNA-seq data set: 130d)		5757956											GSM3004167_r1			GSM3004167			GBM-1_4_130d (techn. Rep. 2)						GBM-1_4_130d (techn. Rep. 2)	ORGANOID_GBM	4	MUT_COMBINATION_1	MUTATION	ENSG00000147889,ENSG00000147883,ENSG00000146648	CDKN2A,CDKN2B,EGFR	SRR6726573,SRR6726591,SRR6726574,SRR6726592,SRR6726575,SRR6726593	130	days						9606	Homo sapiens		SRS2959086	SRP132872													fasp.sra.ebi.ac.uk:/vol1/srr/SRR672/007/SRR6726597	105399238	ftp.sra.ebi.ac.uk/vol1/srr/SRR672/007/SRR6726597	ftp.sra.ebi.ac.uk/vol1/srr/SRR672/007/SRR6726597	0a65426a4c482692d1584b372ab47642	public		GSE110610	Targeted mutagenesis recapitulates brain tumor initiation in cerebral organoids (RNA-seq data set: 130d)			SRA659539										ena						cerebral organoids		
SRR6726580	Illumina HiSeq 2500 sequencing: GSM3004150: GBM-2_1_130d (techn. Rep. 1) Homo sapiens RNA-Seq	PRJNA434108		SAMN08536476									685561200									GEO																Illumina HiSeq 2500 sequencing: GSM3004150: GBM-2_1_130d (techn. Rep. 1) Homo sapiens RNA-Seq										SRX3699597	GSM3004150						fasp.sra.ebi.ac.uk:/vol1/fastq/SRR672/000/SRR6726580/SRR6726580.fastq.gz	406214567	ftp.sra.ebi.ac.uk/vol1/fastq/SRR672/000/SRR6726580/SRR6726580.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR672/000/SRR6726580/SRR6726580.fastq.gz	8266bf4e73b6184338532e8ffcb15a86		2018-05-31	2018-05-31														Illumina HiSeq 2500	ILLUMINA				2018-05-31		RNA was isolated from individual organoids using RNeasy Micro Kit (QIAGEN, cat. #74004) according to the manufacturers instructions. RNA concentration and integrity was analysed using RNA 6000 Nano Chip (Agilent techReplicatenologies, cat. #5067-1511). RNA was enriched for mRNA using SMART-Seq v4 Ultra Low Input RNA Kit (Clontech, cat. # 634891). Libraries were prepared using NEBNext Ultra Directional RNA Library Prep Kit for Illumina (NEB, cat. # E7420L). Barcoded samples were multiplexed and sequenced 50bp SE on a HighSeq2500 (Illumina). Sample preparation and sequencing was performed at the VBCF NGS Unit (www.vbcf.ac.at). Samples were sequenced twice each.		SINGLE										cDNA	TRANSCRIPTOMIC	RNA-Seq								Generic					Targeted mutagenesis recapitulates brain tumor initiation in cerebral organoids (RNA-seq data set: 130d)		13711224											GSM3004150_r1			GSM3004150			GBM-2_1_130d (techn. Rep. 1)						GBM-2_1_130d (techn. Rep. 1)	ORGANOID_GBM	1	MUT_COMBINATION_2	MUTATION	ENSG00000196712,ENSG00000171862,ENSG00000141510	NF1,PTEN,TP53	SRR6726573,SRR6726591,SRR6726574,SRR6726592,SRR6726575,SRR6726593	130	days						9606	Homo sapiens		SRS2959071	SRP132872													fasp.sra.ebi.ac.uk:/vol1/srr/SRR672/000/SRR6726580	248432892	ftp.sra.ebi.ac.uk/vol1/srr/SRR672/000/SRR6726580	ftp.sra.ebi.ac.uk/vol1/srr/SRR672/000/SRR6726580	99b7a866561c1ac9facfc9a8951cda8e	public		GSE110610	Targeted mutagenesis recapitulates brain tumor initiation in cerebral organoids (RNA-seq data set: 130d)			SRA659539										ena						cerebral organoids		
SRR6726598	Illumina HiSeq 2500 sequencing: GSM3004168: GBM-2_1_130d (techn. Rep. 2) Homo sapiens RNA-Seq	PRJNA434108		SAMN08536489									684342950									GEO																Illumina HiSeq 2500 sequencing: GSM3004168: GBM-2_1_130d (techn. Rep. 2) Homo sapiens RNA-Seq										SRX3699613	GSM3004168						fasp.sra.ebi.ac.uk:/vol1/fastq/SRR672/008/SRR6726598/SRR6726598.fastq.gz	407112983	ftp.sra.ebi.ac.uk/vol1/fastq/SRR672/008/SRR6726598/SRR6726598.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR672/008/SRR6726598/SRR6726598.fastq.gz	a48b963f336dce7128915f88a761e1e5		2018-05-31	2018-05-31														Illumina HiSeq 2500	ILLUMINA				2018-05-31		RNA was isolated from individual organoids using RNeasy Micro Kit (QIAGEN, cat. #74004) according to the manufacturers instructions. RNA concentration and integrity was analysed using RNA 6000 Nano Chip (Agilent techReplicatenologies, cat. #5067-1511). RNA was enriched for mRNA using SMART-Seq v4 Ultra Low Input RNA Kit (Clontech, cat. # 634891). Libraries were prepared using NEBNext Ultra Directional RNA Library Prep Kit for Illumina (NEB, cat. # E7420L). Barcoded samples were multiplexed and sequenced 50bp SE on a HighSeq2500 (Illumina). Sample preparation and sequencing was performed at the VBCF NGS Unit (www.vbcf.ac.at). Samples were sequenced twice each.		SINGLE										cDNA	TRANSCRIPTOMIC	RNA-Seq								Generic					Targeted mutagenesis recapitulates brain tumor initiation in cerebral organoids (RNA-seq data set: 130d)		13686859											GSM3004168_r1			GSM3004168			GBM-2_1_130d (techn. Rep. 2)						GBM-2_1_130d (techn. Rep. 2)	ORGANOID_GBM	1	MUT_COMBINATION_2	MUTATION	ENSG00000196712,ENSG00000171862,ENSG00000141510	NF1,PTEN,TP53	SRR6726573,SRR6726591,SRR6726574,SRR6726592,SRR6726575,SRR6726593	130	days						9606	Homo sapiens		SRS2959097	SRP132872													fasp.sra.ebi.ac.uk:/vol1/srr/SRR672/008/SRR6726598	249543980	ftp.sra.ebi.ac.uk/vol1/srr/SRR672/008/SRR6726598	ftp.sra.ebi.ac.uk/vol1/srr/SRR672/008/SRR6726598	35ec0d4e81842a2fa31d221ed6a64cd8	public		GSE110610	Targeted mutagenesis recapitulates brain tumor initiation in cerebral organoids (RNA-seq data set: 130d)			SRA659539										ena						cerebral organoids		
SRR5837561	Illumina HiSeq 2500 sequencing: GSM2706323: GBM-2_1_45d (techn. Rep. 1) Homo sapiens RNA-Seq	PRJNA394872		SAMN07361761									1280024350									GEO																Illumina HiSeq 2500 sequencing: GSM2706323: GBM-2_1_45d (techn. Rep. 1) Homo sapiens RNA-Seq										SRX3014042	GSM2706323						fasp.sra.ebi.ac.uk:/vol1/fastq/SRR583/001/SRR5837561/SRR5837561.fastq.gz	736244410	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/001/SRR5837561/SRR5837561.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/001/SRR5837561/SRR5837561.fastq.gz	e5579c5ba6927c4c2eed9823bffa7c4e		2018-05-31	2018-05-31														Illumina HiSeq 2500	ILLUMINA				2018-05-31		RNA was isolated from individual organoids using RNeasy Micro Kit (QIAGEN, cat. #74004) according to the manufacturers instructions. RNA concentration and integrity was analysed using RNA 6000 Nano Chip (Agilent techReplicatenologies, cat. #5067-1511). RNA was enriched for mRNA using SMART-Seq v4 Ultra Low Input RNA Kit (Clontech, cat. # 634891). Libraries were prepared using NEBNext Ultra Directional RNA Library Prep Kit for Illumina (NEB, cat. # E7420L). Barcoded samples were multiplexed and sequenced 50bp SE on a HighSeq2500 (Illumina). Sample preparation and sequencing was performed at the VBCF NGS Unit (www.vbcf.ac.at). Samples were sequenced twice each.		SINGLE										cDNA	TRANSCRIPTOMIC	RNA-Seq								Generic					Homo sapiens		25600487											GSM2706323_r1			GSM2706323			GBM-2_1_45d (techn. Rep. 1)						GBM-2_1_45d (techn. Rep. 1)	ORGANOID_GBM	1	MUT_COMBINATION_2	MUTATION	ENSG00000196712,ENSG00000171862,ENSG00000141510	NF1,PTEN,TP53	SRR5837557,SRR5837570,SRR5837558,SRR5837571,SRR5837559,SRR5837572	45	days						9606	Homo sapiens		SRS2363633	SRP112726													fasp.sra.ebi.ac.uk:/vol1/srr/SRR583/001/SRR5837561	447542135	ftp.sra.ebi.ac.uk/vol1/srr/SRR583/001/SRR5837561	ftp.sra.ebi.ac.uk/vol1/srr/SRR583/001/SRR5837561	3b285eebf758cd6050382fb1c6e41345	public		GSE101577	Targeted mutagenesis recapitulates brain tumor initiation in cerebral organoids (RNA-seq data set: 45d)			SRA588288										ena						cerebral organoids		
SRR5837574	Illumina HiSeq 2500 sequencing: GSM2706336: GBM-2_1_45d (techn. Rep. 2) Homo sapiens RNA-Seq	PRJNA394872		SAMN07361748									1334443850									GEO																Illumina HiSeq 2500 sequencing: GSM2706336: GBM-2_1_45d (techn. Rep. 2) Homo sapiens RNA-Seq										SRX3014055	GSM2706336						fasp.sra.ebi.ac.uk:/vol1/fastq/SRR583/004/SRR5837574/SRR5837574.fastq.gz	779224637	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/004/SRR5837574/SRR5837574.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/004/SRR5837574/SRR5837574.fastq.gz	474b882a5f90856289f975e6fd207af8		2018-05-31	2018-05-31														Illumina HiSeq 2500	ILLUMINA				2018-05-31		RNA was isolated from individual organoids using RNeasy Micro Kit (QIAGEN, cat. #74004) according to the manufacturers instructions. RNA concentration and integrity was analysed using RNA 6000 Nano Chip (Agilent techReplicatenologies, cat. #5067-1511). RNA was enriched for mRNA using SMART-Seq v4 Ultra Low Input RNA Kit (Clontech, cat. # 634891). Libraries were prepared using NEBNext Ultra Directional RNA Library Prep Kit for Illumina (NEB, cat. # E7420L). Barcoded samples were multiplexed and sequenced 50bp SE on a HighSeq2500 (Illumina). Sample preparation and sequencing was performed at the VBCF NGS Unit (www.vbcf.ac.at). Samples were sequenced twice each.		SINGLE										cDNA	TRANSCRIPTOMIC	RNA-Seq								Generic					Homo sapiens		26688877											GSM2706336_r1			GSM2706336			GBM-2_1_45d (techn. Rep. 2)						GBM-2_1_45d (techn. Rep. 2)	ORGANOID_GBM	1	MUT_COMBINATION_2	MUTATION	ENSG00000196712,ENSG00000171862,ENSG00000141510	NF1,PTEN,TP53	SRR5837557,SRR5837570,SRR5837558,SRR5837571,SRR5837559,SRR5837572	45	days						9606	Homo sapiens		SRS2363647	SRP112726													fasp.sra.ebi.ac.uk:/vol1/srr/SRR583/004/SRR5837574	475559353	ftp.sra.ebi.ac.uk/vol1/srr/SRR583/004/SRR5837574	ftp.sra.ebi.ac.uk/vol1/srr/SRR583/004/SRR5837574	79853f81aa5829ad9354822f433140ae	public		GSE101577	Targeted mutagenesis recapitulates brain tumor initiation in cerebral organoids (RNA-seq data set: 45d)			SRA588288										ena						cerebral organoids		
SRR6726581	Illumina HiSeq 2500 sequencing: GSM3004151: GBM-2_2_130d (techn. Rep. 1) Homo sapiens RNA-Seq	PRJNA434108		SAMN08536475									760641400									GEO																Illumina HiSeq 2500 sequencing: GSM3004151: GBM-2_2_130d (techn. Rep. 1) Homo sapiens RNA-Seq										SRX3699598	GSM3004151						fasp.sra.ebi.ac.uk:/vol1/fastq/SRR672/001/SRR6726581/SRR6726581.fastq.gz	441251198	ftp.sra.ebi.ac.uk/vol1/fastq/SRR672/001/SRR6726581/SRR6726581.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR672/001/SRR6726581/SRR6726581.fastq.gz	10543e40c98570724be2c5fde9d67f6f		2018-05-31	2018-05-31														Illumina HiSeq 2500	ILLUMINA				2018-05-31		RNA was isolated from individual organoids using RNeasy Micro Kit (QIAGEN, cat. #74004) according to the manufacturers instructions. RNA concentration and integrity was analysed using RNA 6000 Nano Chip (Agilent techReplicatenologies, cat. #5067-1511). RNA was enriched for mRNA using SMART-Seq v4 Ultra Low Input RNA Kit (Clontech, cat. # 634891). Libraries were prepared using NEBNext Ultra Directional RNA Library Prep Kit for Illumina (NEB, cat. # E7420L). Barcoded samples were multiplexed and sequenced 50bp SE on a HighSeq2500 (Illumina). Sample preparation and sequencing was performed at the VBCF NGS Unit (www.vbcf.ac.at). Samples were sequenced twice each.		SINGLE										cDNA	TRANSCRIPTOMIC	RNA-Seq								Generic					Targeted mutagenesis recapitulates brain tumor initiation in cerebral organoids (RNA-seq data set: 130d)		15212828											GSM3004151_r1			GSM3004151			GBM-2_2_130d (techn. Rep. 1)						GBM-2_2_130d (techn. Rep. 1)	ORGANOID_GBM	2	MUT_COMBINATION_2	MUTATION	ENSG00000196712,ENSG00000171862,ENSG00000141510	NF1,PTEN,TP53	SRR6726573,SRR6726591,SRR6726574,SRR6726592,SRR6726575,SRR6726593	130	days						9606	Homo sapiens		SRS2959072	SRP132872													fasp.sra.ebi.ac.uk:/vol1/srr/SRR672/001/SRR6726581	268582596	ftp.sra.ebi.ac.uk/vol1/srr/SRR672/001/SRR6726581	ftp.sra.ebi.ac.uk/vol1/srr/SRR672/001/SRR6726581	447cf05fa67d31cbb805993cba784d42	public		GSE110610	Targeted mutagenesis recapitulates brain tumor initiation in cerebral organoids (RNA-seq data set: 130d)			SRA659539										ena						cerebral organoids		
SRR6726599	Illumina HiSeq 2500 sequencing: GSM3004169: GBM-2_2_130d (techn. Rep. 2) Homo sapiens RNA-Seq	PRJNA434108		SAMN08536488									759819750									GEO																Illumina HiSeq 2500 sequencing: GSM3004169: GBM-2_2_130d (techn. Rep. 2) Homo sapiens RNA-Seq										SRX3699614	GSM3004169						fasp.sra.ebi.ac.uk:/vol1/fastq/SRR672/009/SRR6726599/SRR6726599.fastq.gz	442239695	ftp.sra.ebi.ac.uk/vol1/fastq/SRR672/009/SRR6726599/SRR6726599.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR672/009/SRR6726599/SRR6726599.fastq.gz	178db6f680f7d621b41354cdc20cf500		2018-05-31	2018-05-31														Illumina HiSeq 2500	ILLUMINA				2018-05-31		RNA was isolated from individual organoids using RNeasy Micro Kit (QIAGEN, cat. #74004) according to the manufacturers instructions. RNA concentration and integrity was analysed using RNA 6000 Nano Chip (Agilent techReplicatenologies, cat. #5067-1511). RNA was enriched for mRNA using SMART-Seq v4 Ultra Low Input RNA Kit (Clontech, cat. # 634891). Libraries were prepared using NEBNext Ultra Directional RNA Library Prep Kit for Illumina (NEB, cat. # E7420L). Barcoded samples were multiplexed and sequenced 50bp SE on a HighSeq2500 (Illumina). Sample preparation and sequencing was performed at the VBCF NGS Unit (www.vbcf.ac.at). Samples were sequenced twice each.		SINGLE										cDNA	TRANSCRIPTOMIC	RNA-Seq								Generic					Targeted mutagenesis recapitulates brain tumor initiation in cerebral organoids (RNA-seq data set: 130d)		15196395											GSM3004169_r1			GSM3004169			GBM-2_2_130d (techn. Rep. 2)						GBM-2_2_130d (techn. Rep. 2)	ORGANOID_GBM	2	MUT_COMBINATION_2	MUTATION	ENSG00000196712,ENSG00000171862,ENSG00000141510	NF1,PTEN,TP53	SRR6726573,SRR6726591,SRR6726574,SRR6726592,SRR6726575,SRR6726593	130	days						9606	Homo sapiens		SRS2959087	SRP132872													fasp.sra.ebi.ac.uk:/vol1/srr/SRR672/009/SRR6726599	269859275	ftp.sra.ebi.ac.uk/vol1/srr/SRR672/009/SRR6726599	ftp.sra.ebi.ac.uk/vol1/srr/SRR672/009/SRR6726599	2e862c55ad91c7ab960d586c756bba1e	public		GSE110610	Targeted mutagenesis recapitulates brain tumor initiation in cerebral organoids (RNA-seq data set: 130d)			SRA659539										ena						cerebral organoids		
SRR5837562	Illumina HiSeq 2500 sequencing: GSM2706324: GBM-2_2_45d (techn. Rep. 1) Homo sapiens RNA-Seq	PRJNA394872		SAMN07361760									860086800									GEO																Illumina HiSeq 2500 sequencing: GSM2706324: GBM-2_2_45d (techn. Rep. 1) Homo sapiens RNA-Seq										SRX3014043	GSM2706324						fasp.sra.ebi.ac.uk:/vol1/fastq/SRR583/002/SRR5837562/SRR5837562.fastq.gz	496319331	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/002/SRR5837562/SRR5837562.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/002/SRR5837562/SRR5837562.fastq.gz	ea2b40660f6b6f25ea967effcbe84785		2018-05-31	2018-05-31														Illumina HiSeq 2500	ILLUMINA				2018-05-31		RNA was isolated from individual organoids using RNeasy Micro Kit (QIAGEN, cat. #74004) according to the manufacturers instructions. RNA concentration and integrity was analysed using RNA 6000 Nano Chip (Agilent techReplicatenologies, cat. #5067-1511). RNA was enriched for mRNA using SMART-Seq v4 Ultra Low Input RNA Kit (Clontech, cat. # 634891). Libraries were prepared using NEBNext Ultra Directional RNA Library Prep Kit for Illumina (NEB, cat. # E7420L). Barcoded samples were multiplexed and sequenced 50bp SE on a HighSeq2500 (Illumina). Sample preparation and sequencing was performed at the VBCF NGS Unit (www.vbcf.ac.at). Samples were sequenced twice each.		SINGLE										cDNA	TRANSCRIPTOMIC	RNA-Seq								Generic					Homo sapiens		17201736											GSM2706324_r1			GSM2706324			GBM-2_2_45d (techn. Rep. 1)						GBM-2_2_45d (techn. Rep. 1)	ORGANOID_GBM	2	MUT_COMBINATION_2	MUTATION	ENSG00000196712,ENSG00000171862,ENSG00000141510	NF1,PTEN,TP53	SRR5837557,SRR5837570,SRR5837558,SRR5837571,SRR5837559,SRR5837572	45	days						9606	Homo sapiens		SRS2363635	SRP112726													fasp.sra.ebi.ac.uk:/vol1/srr/SRR583/002/SRR5837562	302321948	ftp.sra.ebi.ac.uk/vol1/srr/SRR583/002/SRR5837562	ftp.sra.ebi.ac.uk/vol1/srr/SRR583/002/SRR5837562	0368727682c7bd44f83394b09b82fb0f	public		GSE101577	Targeted mutagenesis recapitulates brain tumor initiation in cerebral organoids (RNA-seq data set: 45d)			SRA588288										ena						cerebral organoids		
SRR5837575	Illumina HiSeq 2500 sequencing: GSM2706337: GBM-2_2_45d (techn. Rep. 2) Homo sapiens RNA-Seq	PRJNA394872		SAMN07361747									899077700									GEO																Illumina HiSeq 2500 sequencing: GSM2706337: GBM-2_2_45d (techn. Rep. 2) Homo sapiens RNA-Seq										SRX3014056	GSM2706337						fasp.sra.ebi.ac.uk:/vol1/fastq/SRR583/005/SRR5837575/SRR5837575.fastq.gz	527367822	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/005/SRR5837575/SRR5837575.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/005/SRR5837575/SRR5837575.fastq.gz	e41e3d13cc4c1ecbc1e0b86085e51e7c		2018-05-31	2018-05-31														Illumina HiSeq 2500	ILLUMINA				2018-05-31		RNA was isolated from individual organoids using RNeasy Micro Kit (QIAGEN, cat. #74004) according to the manufacturers instructions. RNA concentration and integrity was analysed using RNA 6000 Nano Chip (Agilent techReplicatenologies, cat. #5067-1511). RNA was enriched for mRNA using SMART-Seq v4 Ultra Low Input RNA Kit (Clontech, cat. # 634891). Libraries were prepared using NEBNext Ultra Directional RNA Library Prep Kit for Illumina (NEB, cat. # E7420L). Barcoded samples were multiplexed and sequenced 50bp SE on a HighSeq2500 (Illumina). Sample preparation and sequencing was performed at the VBCF NGS Unit (www.vbcf.ac.at). Samples were sequenced twice each.		SINGLE										cDNA	TRANSCRIPTOMIC	RNA-Seq								Generic					Homo sapiens		17981554											GSM2706337_r1			GSM2706337			GBM-2_2_45d (techn. Rep. 2)						GBM-2_2_45d (techn. Rep. 2)	ORGANOID_GBM	2	MUT_COMBINATION_2	MUTATION	ENSG00000196712,ENSG00000171862,ENSG00000141510	NF1,PTEN,TP53	SRR5837557,SRR5837570,SRR5837558,SRR5837571,SRR5837559,SRR5837572	45	days						9606	Homo sapiens		SRS2363649	SRP112726													fasp.sra.ebi.ac.uk:/vol1/srr/SRR583/005/SRR5837575	322563556	ftp.sra.ebi.ac.uk/vol1/srr/SRR583/005/SRR5837575	ftp.sra.ebi.ac.uk/vol1/srr/SRR583/005/SRR5837575	18c388881e6b82a996484fc2cdfc755c	public		GSE101577	Targeted mutagenesis recapitulates brain tumor initiation in cerebral organoids (RNA-seq data set: 45d)			SRA588288										ena						cerebral organoids		
