"accession"	"altitude"	"assembly_quality"	"assembly_software"	"base_count"	"binning_software"	"bio_material"	"broker_name"	"cell_line"	"cell_type"	"center_name"	"checklist"	"collected_by"	"collection_date"	"collection_date_submitted"	"completeness_score"	"contamination_score"	"country"	"cram_index_aspera"	"cram_index_ftp"	"cram_index_galaxy"	"cultivar"	"culture_collection"	"depth"	"description"	"dev_stage"	"ecotype"	"elevation"	"environment_biome"	"environment_feature"	"environment_material"	"environmental_package"	"environmental_sample"	"experiment_accession"	"experiment_alias"	"experiment_title"	"experimental_factor"	"fastq_aspera"	"fastq_bytes"	"fastq_ftp"	"fastq_galaxy"	"fastq_md5"	"first_created"	"first_public"	"germline"	"host"	"host_body_site"	"host_genotype"	"host_gravidity"	"host_growth_conditions"	"host_phenotype"	"host_sex"	"host_status"	"host_tax_id"	"identified_by"	"instrument_model"	"instrument_platform"	"investigation_type"	"isolate"	"isolation_source"	"last_updated"	"lat"	"library_construction_protocol"	"library_layout"	"library_name"	"library_selection"	"library_source"	"library_strategy"	"location"	"lon"	"mating_type"	"nominal_length"	"nominal_sdev"	"parent_study"	"ph"	"project_name"	"protocol_label"	"read_count"	"run_accession"	"run_alias"	"salinity"	"sample_accession"	"sample_alias"	"sample_capture_status"	"sample_collection"	"sample_description"	"sample_material"	"sample_title"	"replicate"	"DepMap_ID"	"CCLE_Name"	"cell_line_name"	"condition"	"pert_concentration"	"pert_concentration_units"	"pert_time"	"pert_time_units"	"sampling_campaign"	"sampling_platform"	"sampling_site"	"scientific_name"	"secondary_sample_accession"	"secondary_study_accession"	"sequencing_method"	"serotype"	"serovar"	"sex"	"specimen_voucher"	"sra_aspera"	"sra_bytes"	"sra_ftp"	"sra_galaxy"	"sra_md5"	"strain"	"study_accession"	"study_alias"	"study_title"	"sub_species"	"sub_strain"	"submission_accession"	"submission_tool"	"submitted_aspera"	"submitted_bytes"	"submitted_format"	"submitted_ftp"	"submitted_galaxy"	"submitted_host_sex"	"submitted_md5"	"submitted_sex"	"target_gene"	"tax_id"	"taxonomic_classification"	"taxonomic_identity_marker"	"temperature"	"tissue_lib"	"tissue_type"	"variety"
"SAMN06627485"				6074729200				"HCT-116"																"Illumina HiSeq 2000 sequencing; GSM2545874: DMSO PHF5A WT 2; Homo sapiens; RNA-Seq"								"false"	"SRX2661612"	"GSM2545874"	"Illumina HiSeq 2000 sequencing; GSM2545874: DMSO PHF5A WT 2; Homo sapiens; RNA-Seq"		"fasp.sra.ebi.ac.uk:/vol1/fastq/SRR536/003/SRR5366343/SRR5366343_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR536/003/SRR5366343/SRR5366343_2.fastq.gz"	"1646007901;1682834088"	"ftp.sra.ebi.ac.uk/vol1/fastq/SRR536/003/SRR5366343/SRR5366343_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR536/003/SRR5366343/SRR5366343_2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/fastq/SRR536/003/SRR5366343/SRR5366343_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR536/003/SRR5366343/SRR5366343_2.fastq.gz"	"d2ee01cfd5f1f8430ce4504f4ec39852;475c6a54c5b8d32686108dc45f55be69"	2017-05-27	2017-05-27	"false"											"Illumina HiSeq 2000"	"ILLUMINA"				2017-05-27		"Total RNA was harvested and Poly A selected RNA libraries were prepared for sequencing using standard Illumina protocols"	"PAIRED"		"cDNA"	"TRANSCRIPTOMIC"	"RNA-Seq"						"PRJNA9558"				30373646	"SRR5366343"	"GSM2545874_r1"		"SAMN06627485"	"GSM2545874"			"DMSO PHF5A WT 2"		"DMSO PHF5A WT 2"	2	"ACH-000971"	"HCT116_LARGE_INTESTINE"	"HCT116_LARGE_INTESTINE"	"DMSO"								"Homo sapiens"	"SRS2063690"	"SRP102295"						"fasp.sra.ebi.ac.uk:/vol1/srr/SRR536/003/SRR5366343"	2288722083	"ftp.sra.ebi.ac.uk/vol1/srr/SRR536/003/SRR5366343"	"ftp.sra.ebi.ac.uk/vol1/srr/SRR536/003/SRR5366343"	"82bbf92e8c1642e9a7b6de2b8738dca3"		"PRJNA380104"	"GSE96917"	"Splicing Modulators Act at the Branch Point Adenosine Binding Pocket Defined by the PHF5A-SF3b Complex"			"SRA548418"											9606						
"SAMN06627484"				6020736400				"HCT-116"																"Illumina HiSeq 2000 sequencing; GSM2545875: DMSO PHF5A WT 3; Homo sapiens; RNA-Seq"								"false"	"SRX2661613"	"GSM2545875"	"Illumina HiSeq 2000 sequencing; GSM2545875: DMSO PHF5A WT 3; Homo sapiens; RNA-Seq"		"fasp.sra.ebi.ac.uk:/vol1/fastq/SRR536/004/SRR5366344/SRR5366344_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR536/004/SRR5366344/SRR5366344_2.fastq.gz"	"1611765770;1757676464"	"ftp.sra.ebi.ac.uk/vol1/fastq/SRR536/004/SRR5366344/SRR5366344_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR536/004/SRR5366344/SRR5366344_2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/fastq/SRR536/004/SRR5366344/SRR5366344_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR536/004/SRR5366344/SRR5366344_2.fastq.gz"	"0eee4f9a97f4dcba057974682d52860d;c590fd4c6a45acc5a3258bd7abc5a868"	2017-05-27	2017-05-27	"false"											"Illumina HiSeq 2000"	"ILLUMINA"				2017-05-27		"Total RNA was harvested and Poly A selected RNA libraries were prepared for sequencing using standard Illumina protocols"	"PAIRED"		"cDNA"	"TRANSCRIPTOMIC"	"RNA-Seq"						"PRJNA9558"				30103682	"SRR5366344"	"GSM2545875_r1"		"SAMN06627484"	"GSM2545875"			"DMSO PHF5A WT 3"		"DMSO PHF5A WT 3"	3	"ACH-000971"	"HCT116_LARGE_INTESTINE"	"HCT116_LARGE_INTESTINE"	"DMSO"								"Homo sapiens"	"SRS2063691"	"SRP102295"						"fasp.sra.ebi.ac.uk:/vol1/srr/SRR536/004/SRR5366344"	2320668740	"ftp.sra.ebi.ac.uk/vol1/srr/SRR536/004/SRR5366344"	"ftp.sra.ebi.ac.uk/vol1/srr/SRR536/004/SRR5366344"	"9919bd41391312d8bf8ae0aa6298c942"		"PRJNA380104"	"GSE96917"	"Splicing Modulators Act at the Branch Point Adenosine Binding Pocket Defined by the PHF5A-SF3b Complex"			"SRA548418"											9606						
"SAMN06627483"				6059616000				"HCT-116"																"Illumina HiSeq 2000 sequencing; GSM2545876: DMSO PHF5A WT 4; Homo sapiens; RNA-Seq"								"false"	"SRX2661614"	"GSM2545876"	"Illumina HiSeq 2000 sequencing; GSM2545876: DMSO PHF5A WT 4; Homo sapiens; RNA-Seq"		"fasp.sra.ebi.ac.uk:/vol1/fastq/SRR536/005/SRR5366345/SRR5366345_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR536/005/SRR5366345/SRR5366345_2.fastq.gz"	"1615728981;1731760798"	"ftp.sra.ebi.ac.uk/vol1/fastq/SRR536/005/SRR5366345/SRR5366345_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR536/005/SRR5366345/SRR5366345_2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/fastq/SRR536/005/SRR5366345/SRR5366345_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR536/005/SRR5366345/SRR5366345_2.fastq.gz"	"202c3fcdd561b65832fa7439e6100abb;844eec384fa35e7436969fae89c57bad"	2017-05-27	2017-05-27	"false"											"Illumina HiSeq 2000"	"ILLUMINA"				2017-05-27		"Total RNA was harvested and Poly A selected RNA libraries were prepared for sequencing using standard Illumina protocols"	"PAIRED"		"cDNA"	"TRANSCRIPTOMIC"	"RNA-Seq"						"PRJNA9558"				30298080	"SRR5366345"	"GSM2545876_r1"		"SAMN06627483"	"GSM2545876"			"DMSO PHF5A WT 4"		"DMSO PHF5A WT 4"	4	"ACH-000971"	"HCT116_LARGE_INTESTINE"	"HCT116_LARGE_INTESTINE"	"DMSO"								"Homo sapiens"	"SRS2063692"	"SRP102295"						"fasp.sra.ebi.ac.uk:/vol1/srr/SRR536/005/SRR5366345"	2301389884	"ftp.sra.ebi.ac.uk/vol1/srr/SRR536/005/SRR5366345"	"ftp.sra.ebi.ac.uk/vol1/srr/SRR536/005/SRR5366345"	"ad8f43bc012f46bdaeb321a1b228a07a"		"PRJNA380104"	"GSE96917"	"Splicing Modulators Act at the Branch Point Adenosine Binding Pocket Defined by the PHF5A-SF3b Complex"			"SRA548418"											9606						
"SAMN06627482"				6072870200				"HCT-116"																"Illumina HiSeq 2000 sequencing; GSM2545877: DMSO PHF5A WT 5; Homo sapiens; RNA-Seq"								"false"	"SRX2661615"	"GSM2545877"	"Illumina HiSeq 2000 sequencing; GSM2545877: DMSO PHF5A WT 5; Homo sapiens; RNA-Seq"		"fasp.sra.ebi.ac.uk:/vol1/fastq/SRR536/006/SRR5366346/SRR5366346_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR536/006/SRR5366346/SRR5366346_2.fastq.gz"	"1619036890;1743488191"	"ftp.sra.ebi.ac.uk/vol1/fastq/SRR536/006/SRR5366346/SRR5366346_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR536/006/SRR5366346/SRR5366346_2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/fastq/SRR536/006/SRR5366346/SRR5366346_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR536/006/SRR5366346/SRR5366346_2.fastq.gz"	"e251cc6cc722822874ba3b635d7cd12d;490b27dabefbb5a7d064407240cbecbb"	2017-05-27	2017-05-27	"false"											"Illumina HiSeq 2000"	"ILLUMINA"				2017-05-27		"Total RNA was harvested and Poly A selected RNA libraries were prepared for sequencing using standard Illumina protocols"	"PAIRED"		"cDNA"	"TRANSCRIPTOMIC"	"RNA-Seq"						"PRJNA9558"				30364351	"SRR5366346"	"GSM2545877_r1"		"SAMN06627482"	"GSM2545877"			"DMSO PHF5A WT 5"		"DMSO PHF5A WT 5"	5	"ACH-000971"	"HCT116_LARGE_INTESTINE"	"HCT116_LARGE_INTESTINE"	"DMSO"								"Homo sapiens"	"SRS2063693"	"SRP102295"						"fasp.sra.ebi.ac.uk:/vol1/srr/SRR536/006/SRR5366346"	2313086377	"ftp.sra.ebi.ac.uk/vol1/srr/SRR536/006/SRR5366346"	"ftp.sra.ebi.ac.uk/vol1/srr/SRR536/006/SRR5366346"	"a82d9fb414361a2dad3b295becbac2de"		"PRJNA380104"	"GSE96917"	"Splicing Modulators Act at the Branch Point Adenosine Binding Pocket Defined by the PHF5A-SF3b Complex"			"SRA548418"											9606						
"SAMN06627481"				6055369000				"HCT-116"																"Illumina HiSeq 2000 sequencing; GSM2545878: DMSO PHF5A WT 6; Homo sapiens; RNA-Seq"								"false"	"SRX2661616"	"GSM2545878"	"Illumina HiSeq 2000 sequencing; GSM2545878: DMSO PHF5A WT 6; Homo sapiens; RNA-Seq"		"fasp.sra.ebi.ac.uk:/vol1/fastq/SRR536/007/SRR5366347/SRR5366347_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR536/007/SRR5366347/SRR5366347_2.fastq.gz"	"1615611495;1727141470"	"ftp.sra.ebi.ac.uk/vol1/fastq/SRR536/007/SRR5366347/SRR5366347_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR536/007/SRR5366347/SRR5366347_2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/fastq/SRR536/007/SRR5366347/SRR5366347_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR536/007/SRR5366347/SRR5366347_2.fastq.gz"	"8a0460bff1047e88dcf1e5f48bacf349;fc6e12e537baf7362034d008a2fe0c91"	2017-05-27	2017-05-27	"false"											"Illumina HiSeq 2000"	"ILLUMINA"				2017-05-27		"Total RNA was harvested and Poly A selected RNA libraries were prepared for sequencing using standard Illumina protocols"	"PAIRED"		"cDNA"	"TRANSCRIPTOMIC"	"RNA-Seq"						"PRJNA9558"				30276845	"SRR5366347"	"GSM2545878_r1"		"SAMN06627481"	"GSM2545878"			"DMSO PHF5A WT 6"		"DMSO PHF5A WT 6"	6	"ACH-000971"	"HCT116_LARGE_INTESTINE"	"HCT116_LARGE_INTESTINE"	"DMSO"								"Homo sapiens"	"SRS2063694"	"SRP102295"						"fasp.sra.ebi.ac.uk:/vol1/srr/SRR536/007/SRR5366347"	2298636583	"ftp.sra.ebi.ac.uk/vol1/srr/SRR536/007/SRR5366347"	"ftp.sra.ebi.ac.uk/vol1/srr/SRR536/007/SRR5366347"	"e4c63af77af691cc363b3224b3831093"		"PRJNA380104"	"GSE96917"	"Splicing Modulators Act at the Branch Point Adenosine Binding Pocket Defined by the PHF5A-SF3b Complex"			"SRA548418"											9606						
"SAMN06627480"				6050951800				"HCT-116"																"Illumina HiSeq 2000 sequencing; GSM2545879: E7107 PHF5A WT 1; Homo sapiens; RNA-Seq"								"false"	"SRX2661617"	"GSM2545879"	"Illumina HiSeq 2000 sequencing; GSM2545879: E7107 PHF5A WT 1; Homo sapiens; RNA-Seq"		"fasp.sra.ebi.ac.uk:/vol1/fastq/SRR536/008/SRR5366348/SRR5366348_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR536/008/SRR5366348/SRR5366348_2.fastq.gz"	"1615023973;1725496439"	"ftp.sra.ebi.ac.uk/vol1/fastq/SRR536/008/SRR5366348/SRR5366348_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR536/008/SRR5366348/SRR5366348_2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/fastq/SRR536/008/SRR5366348/SRR5366348_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR536/008/SRR5366348/SRR5366348_2.fastq.gz"	"b6604e8b6106f0e85f457ed7e8b17e87;ecc870b1ad5ae950c39f7dcbbbf4c661"	2017-05-27	2017-05-27	"false"											"Illumina HiSeq 2000"	"ILLUMINA"				2017-05-27		"Total RNA was harvested and Poly A selected RNA libraries were prepared for sequencing using standard Illumina protocols"	"PAIRED"		"cDNA"	"TRANSCRIPTOMIC"	"RNA-Seq"						"PRJNA9558"				30254759	"SRR5366348"	"GSM2545879_r1"		"SAMN06627480"	"GSM2545879"			"E7107 PHF5A WT 1"		"E7107 PHF5A WT 1"	1	"ACH-000971"	"HCT116_LARGE_INTESTINE"	"HCT116_LARGE_INTESTINE"	"E7107"								"Homo sapiens"	"SRS2063695"	"SRP102295"						"fasp.sra.ebi.ac.uk:/vol1/srr/SRR536/008/SRR5366348"	2301680286	"ftp.sra.ebi.ac.uk/vol1/srr/SRR536/008/SRR5366348"	"ftp.sra.ebi.ac.uk/vol1/srr/SRR536/008/SRR5366348"	"e2b156badf3e8de843ef0530a539e339"		"PRJNA380104"	"GSE96917"	"Splicing Modulators Act at the Branch Point Adenosine Binding Pocket Defined by the PHF5A-SF3b Complex"			"SRA548418"											9606						
"SAMN06627479"				6209803000				"HCT-116"																"Illumina HiSeq 2000 sequencing; GSM2545880: E7107 PHF5A WT 2; Homo sapiens; RNA-Seq"								"false"	"SRX2661618"	"GSM2545880"	"Illumina HiSeq 2000 sequencing; GSM2545880: E7107 PHF5A WT 2; Homo sapiens; RNA-Seq"		"fasp.sra.ebi.ac.uk:/vol1/fastq/SRR536/009/SRR5366349/SRR5366349_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR536/009/SRR5366349/SRR5366349_2.fastq.gz"	"1745671651;1876660958"	"ftp.sra.ebi.ac.uk/vol1/fastq/SRR536/009/SRR5366349/SRR5366349_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR536/009/SRR5366349/SRR5366349_2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/fastq/SRR536/009/SRR5366349/SRR5366349_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR536/009/SRR5366349/SRR5366349_2.fastq.gz"	"de65990b273bf07d389d72edf0434ac2;564b427eac75ced44ff24b3f3455936e"	2017-05-27	2017-05-27	"false"											"Illumina HiSeq 2000"	"ILLUMINA"				2017-05-27		"Total RNA was harvested and Poly A selected RNA libraries were prepared for sequencing using standard Illumina protocols"	"PAIRED"		"cDNA"	"TRANSCRIPTOMIC"	"RNA-Seq"						"PRJNA9558"				31049015	"SRR5366349"	"GSM2545880_r1"		"SAMN06627479"	"GSM2545880"			"E7107 PHF5A WT 2"		"E7107 PHF5A WT 2"	2	"ACH-000971"	"HCT116_LARGE_INTESTINE"	"HCT116_LARGE_INTESTINE"	"E7107"								"Homo sapiens"	"SRS2063696"	"SRP102295"						"fasp.sra.ebi.ac.uk:/vol1/srr/SRR536/009/SRR5366349"	2514948767	"ftp.sra.ebi.ac.uk/vol1/srr/SRR536/009/SRR5366349"	"ftp.sra.ebi.ac.uk/vol1/srr/SRR536/009/SRR5366349"	"9a84f8fa635d652ae593c05f56531933"		"PRJNA380104"	"GSE96917"	"Splicing Modulators Act at the Branch Point Adenosine Binding Pocket Defined by the PHF5A-SF3b Complex"			"SRA548418"											9606						
"SAMN06627478"				6257900000				"HCT-116"																"Illumina HiSeq 2000 sequencing; GSM2545881: E7107 PHF5A WT 3; Homo sapiens; RNA-Seq"								"false"	"SRX2661619"	"GSM2545881"	"Illumina HiSeq 2000 sequencing; GSM2545881: E7107 PHF5A WT 3; Homo sapiens; RNA-Seq"		"fasp.sra.ebi.ac.uk:/vol1/fastq/SRR536/000/SRR5366350/SRR5366350_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR536/000/SRR5366350/SRR5366350_2.fastq.gz"	"1767150527;1916945629"	"ftp.sra.ebi.ac.uk/vol1/fastq/SRR536/000/SRR5366350/SRR5366350_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR536/000/SRR5366350/SRR5366350_2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/fastq/SRR536/000/SRR5366350/SRR5366350_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR536/000/SRR5366350/SRR5366350_2.fastq.gz"	"06814493b50c060894656747bc9c676a;61114ed228590b34caadd4e31bb062a8"	2017-05-27	2017-05-27	"false"											"Illumina HiSeq 2000"	"ILLUMINA"				2017-05-27		"Total RNA was harvested and Poly A selected RNA libraries were prepared for sequencing using standard Illumina protocols"	"PAIRED"		"cDNA"	"TRANSCRIPTOMIC"	"RNA-Seq"						"PRJNA9558"				31289500	"SRR5366350"	"GSM2545881_r1"		"SAMN06627478"	"GSM2545881"			"E7107 PHF5A WT 3"		"E7107 PHF5A WT 3"	3	"ACH-000971"	"HCT116_LARGE_INTESTINE"	"HCT116_LARGE_INTESTINE"	"E7107"								"Homo sapiens"	"SRS2063697"	"SRP102295"						"fasp.sra.ebi.ac.uk:/vol1/srr/SRR536/000/SRR5366350"	2558693856	"ftp.sra.ebi.ac.uk/vol1/srr/SRR536/000/SRR5366350"	"ftp.sra.ebi.ac.uk/vol1/srr/SRR536/000/SRR5366350"	"d4b5b8641f4495a02d471cd5143e4b21"		"PRJNA380104"	"GSE96917"	"Splicing Modulators Act at the Branch Point Adenosine Binding Pocket Defined by the PHF5A-SF3b Complex"			"SRA548418"											9606						
"SAMN06627477"				6262786400				"HCT-116"																"Illumina HiSeq 2000 sequencing; GSM2545882: E7107 PHF5A WT 4; Homo sapiens; RNA-Seq"								"false"	"SRX2661620"	"GSM2545882"	"Illumina HiSeq 2000 sequencing; GSM2545882: E7107 PHF5A WT 4; Homo sapiens; RNA-Seq"		"fasp.sra.ebi.ac.uk:/vol1/fastq/SRR536/001/SRR5366351/SRR5366351_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR536/001/SRR5366351/SRR5366351_2.fastq.gz"	"1776601303;1974524392"	"ftp.sra.ebi.ac.uk/vol1/fastq/SRR536/001/SRR5366351/SRR5366351_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR536/001/SRR5366351/SRR5366351_2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/fastq/SRR536/001/SRR5366351/SRR5366351_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR536/001/SRR5366351/SRR5366351_2.fastq.gz"	"b6b651bbfc2a88582e9e5b92168034fe;fbd1d36eb23d31d904968e0fbede0088"	2017-05-27	2017-05-27	"false"											"Illumina HiSeq 2000"	"ILLUMINA"				2017-05-27		"Total RNA was harvested and Poly A selected RNA libraries were prepared for sequencing using standard Illumina protocols"	"PAIRED"		"cDNA"	"TRANSCRIPTOMIC"	"RNA-Seq"						"PRJNA9558"				31313932	"SRR5366351"	"GSM2545882_r1"		"SAMN06627477"	"GSM2545882"			"E7107 PHF5A WT 4"		"E7107 PHF5A WT 4"	4	"ACH-000971"	"HCT116_LARGE_INTESTINE"	"HCT116_LARGE_INTESTINE"	"E7107"								"Homo sapiens"	"SRS2063698"	"SRP102295"						"fasp.sra.ebi.ac.uk:/vol1/srr/SRR536/001/SRR5366351"	2610840005	"ftp.sra.ebi.ac.uk/vol1/srr/SRR536/001/SRR5366351"	"ftp.sra.ebi.ac.uk/vol1/srr/SRR536/001/SRR5366351"	"dd4c3258167074d640ced156951e6145"		"PRJNA380104"	"GSE96917"	"Splicing Modulators Act at the Branch Point Adenosine Binding Pocket Defined by the PHF5A-SF3b Complex"			"SRA548418"											9606						
"SAMN06627476"				6272836400				"HCT-116"																"Illumina HiSeq 2000 sequencing; GSM2545883: E7107 PHF5A WT 5; Homo sapiens; RNA-Seq"								"false"	"SRX2661621"	"GSM2545883"	"Illumina HiSeq 2000 sequencing; GSM2545883: E7107 PHF5A WT 5; Homo sapiens; RNA-Seq"		"fasp.sra.ebi.ac.uk:/vol1/fastq/SRR536/002/SRR5366352/SRR5366352_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR536/002/SRR5366352/SRR5366352_2.fastq.gz"	"1766417519;1900852931"	"ftp.sra.ebi.ac.uk/vol1/fastq/SRR536/002/SRR5366352/SRR5366352_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR536/002/SRR5366352/SRR5366352_2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/fastq/SRR536/002/SRR5366352/SRR5366352_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR536/002/SRR5366352/SRR5366352_2.fastq.gz"	"19a939fd5f7139371fb579323a7f0594;5bba8e93d85d5250db0041b602beb515"	2017-05-27	2017-05-27	"false"											"Illumina HiSeq 2000"	"ILLUMINA"				2017-05-27		"Total RNA was harvested and Poly A selected RNA libraries were prepared for sequencing using standard Illumina protocols"	"PAIRED"		"cDNA"	"TRANSCRIPTOMIC"	"RNA-Seq"						"PRJNA9558"				31364182	"SRR5366352"	"GSM2545883_r1"		"SAMN06627476"	"GSM2545883"			"E7107 PHF5A WT 5"		"E7107 PHF5A WT 5"	5	"ACH-000971"	"HCT116_LARGE_INTESTINE"	"HCT116_LARGE_INTESTINE"	"E7107"								"Homo sapiens"	"SRS2063699"	"SRP102295"						"fasp.sra.ebi.ac.uk:/vol1/srr/SRR536/002/SRR5366352"	2546020732	"ftp.sra.ebi.ac.uk/vol1/srr/SRR536/002/SRR5366352"	"ftp.sra.ebi.ac.uk/vol1/srr/SRR536/002/SRR5366352"	"36d82f432cb295c28ab08d5a4d307b8e"		"PRJNA380104"	"GSE96917"	"Splicing Modulators Act at the Branch Point Adenosine Binding Pocket Defined by the PHF5A-SF3b Complex"			"SRA548418"											9606						
"SAMN06627475"				6218674200				"HCT-116"																"Illumina HiSeq 2000 sequencing; GSM2545884: E7107 PHF5A WT 6; Homo sapiens; RNA-Seq"								"false"	"SRX2661622"	"GSM2545884"	"Illumina HiSeq 2000 sequencing; GSM2545884: E7107 PHF5A WT 6; Homo sapiens; RNA-Seq"		"fasp.sra.ebi.ac.uk:/vol1/fastq/SRR536/003/SRR5366353/SRR5366353_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR536/003/SRR5366353/SRR5366353_2.fastq.gz"	"1763811639;1898047963"	"ftp.sra.ebi.ac.uk/vol1/fastq/SRR536/003/SRR5366353/SRR5366353_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR536/003/SRR5366353/SRR5366353_2.fastq.gz"	"ftp.sra.ebi.ac.uk/vol1/fastq/SRR536/003/SRR5366353/SRR5366353_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR536/003/SRR5366353/SRR5366353_2.fastq.gz"	"654a8b9eb1504c3af39067c40073227c;33ce9118e202566315b655d34f1442c6"	2017-05-27	2017-05-27	"false"											"Illumina HiSeq 2000"	"ILLUMINA"				2017-05-27		"Total RNA was harvested and Poly A selected RNA libraries were prepared for sequencing using standard Illumina protocols"	"PAIRED"		"cDNA"	"TRANSCRIPTOMIC"	"RNA-Seq"						"PRJNA9558"				31093371	"SRR5366353"	"GSM2545884_r1"		"SAMN06627475"	"GSM2545884"			"E7107 PHF5A WT 6"		"E7107 PHF5A WT 6"	6	"ACH-000971"	"HCT116_LARGE_INTESTINE"	"HCT116_LARGE_INTESTINE"	"E7107"								"Homo sapiens"	"SRS2063700"	"SRP102295"						"fasp.sra.ebi.ac.uk:/vol1/srr/SRR536/003/SRR5366353"	2542872579	"ftp.sra.ebi.ac.uk/vol1/srr/SRR536/003/SRR5366353"	"ftp.sra.ebi.ac.uk/vol1/srr/SRR536/003/SRR5366353"	"90638a8d79238e5145a42cf0be29a0b0"		"PRJNA380104"	"GSE96917"	"Splicing Modulators Act at the Branch Point Adenosine Binding Pocket Defined by the PHF5A-SF3b Complex"			"SRA548418"											9606						
